draft_year,pick,player,cluster,cluster_label,pca_x,pca_y,age_at_draft,height,weight,wingspan,has_combine,pos,ws_first4,surplus
2002,20,Kareem Rush,0,wings/mid-size,-0.8008214864441457,-0.40021567792348606,22.0,76.75,199.0,81.75,True,PG,0.8,-7.146666666666667
2002,21,Qyntel Woods,0,wings/mid-size,0.12815352312571557,-0.15450034600341064,21.0,79.0,213.0,82.0,True,PF,1.3,-6.616190476190475
2002,22,Casey Jacobsen,0,wings/mid-size,0.018432698980752754,-0.06001587328475859,21.0,77.75,214.0,82.75,False,SF,6.5,-0.9971428571428564
2002,23,Tayshaun Prince,0,wings/mid-size,0.018432698980752754,-0.06001587328475859,22.0,77.75,214.0,82.75,False,SF,24.7,17.42
2002,24,Nenad Krstić,0,wings/mid-size,0.018432698980752754,-0.06001587328475859,19.0,77.75,214.0,82.75,False,PF,9.8,2.9228571428571435
2002,25,Frank Williams,2,small guards,-1.47715016084118,0.7933313626490535,22.0,73.5,212.0,80.0,True,PG,-2.775557561562892e-17,-7.028571428571429
2002,26,John Salmons,0,wings/mid-size,-0.32232013705347334,-0.24181349072978894,23.0,77.5,207.0,82.25,True,PG,5.8,-0.873333333333334
2002,27,Chris Jefferies,0,wings/mid-size,0.018432698980752754,-0.06001587328475859,22.0,77.75,214.0,82.75,False,SF,-0.5,-6.797894736842105
2002,28,Dan Dickau,0,wings/mid-size,0.018432698980752754,-0.06001587328475859,24.0,77.75,214.0,82.75,False,PG,3.9,-2.743609022556392
2002,30,Steve Logan,2,small guards,-3.9004199906187074,2.2086657258567883,21.0,70.0,207.0,71.75,True,SG,0.0,-4.824561403508772
2002,31,Roger Mason,0,wings/mid-size,0.018432698980752754,-0.06001587328475859,22.0,77.75,214.0,82.75,False,SF,0.2,-4.326466165413533
2002,32,Robert Archibald,1,bigs,2.1348006119303675,0.7179669108167883,22.0,82.0,250.0,83.75,True,PF,0.0,-4.289523809523809
