draft_year,pick,player,wiki_title,views_predraft,hype,surplus
2019,18,Goga Bitadze,Goga Bitadze,49518.0,4.69477186584108,-1.5638095238095229
2019,19,Luka Šamanić,Luka Šamanić,19965.0,4.300291066777081,-7.535238095238095
2019,20,Matisse Thybulle,Matisse Thybulle,31765.0,4.501962531563174,2.953333333333333
2019,21,Brandon Clarke,Brandon Clarke,62691.0,4.797212124921249,12.083809523809524
2019,22,Grant Williams,Grant Williams (basketball),60833.0,4.784146373438335,4.702857142857143
2019,23,Darius Bazley,Darius Bazley,96939.0,4.986503015386741,-4.379999999999999
2019,24,Ty Jerome,Ty Jerome,62155.0,4.79348305801577,-2.9771428571428573
2019,25,Nassir Little,Nassir Little,94048.0,4.973354182164008,-2.9285714285714297
2019,26,Dylan Windler,Dylan Windler,1597.0,3.2035767749779724,-5.373333333333334
2019,27,Mfiondu Kabengele,Mfiondu Kabengele,3165.0,3.5005109105263372,-5.797894736842105
2019,28,Jordan Poole,Jordan Poole,46871.0,4.670913484999461,3.2563909774436084
2019,29,Keldon Johnson,Keldon Johnson,35152.0,4.545962394159521,4.615438596491227
2019,30,Kevin Porter Jr.,Kevin Porter Jr.,44425.0,4.647637212270114,-0.8245614035087723
2019,31,Nic Claxton,Nic Claxton,17.0,1.255272505103306,10.573533834586467
2019,32,KZ Okpala,KZ Okpala,8785.0,3.9437911989293015,-3.289523809523809
2019,33,Carsen Edwards,Carsen Edwards,256881.0,5.409733673847696,-3.5285714285714285
2019,34,Bruno Fernando,Bruno Fernando,51521.0,4.711992713282365,-1.646666666666666
2019,35,Didi Louzada,Didi Louzada,0.0,0.0,-4.09047619047619
2019,36,Cody Martin,Cody Martin (basketball),25528.0,4.407033803328038,1.6657142857142855
2019,37,Deividas Sirvydis,Deividas Sirvydis,7031.0,3.8470788620657155,-4.403809523809524
2019,38,Daniel Gafford,Daniel Gafford,22453.0,4.351293718309777,13.416190476190476
2019,39,Alen Smailagić,Alen Smailagić,4879.0,3.6884198220027105,-3.8238095238095235
2019,40,Justin James,Justin James (basketball),0.0,0.0,-3.6761904761904756
2019,41,Eric Paschall,Eric Paschall,31273.0,4.49518343182908,1.6180952380952385
2019,42,Admiral Schofield,Admiral Schofield,128678.0,5.1095076772208445,-1.9990476190476185
2019,43,Jaylen Nowell,Jaylen Nowell,4606.0,3.6634182122526795,1.754285714285715
2019,44,Bol Bol,Bol Bol,682746.0,5.834259800519852,-0.4276190476190478
2019,45,Isaiah Roby,Isaiah Roby,0.0,0.0,1.4009523809523805
2019,46,Talen Horton-Tucker,Talen Horton-Tucker,7179.0,3.8561244442423,1.6342857142857148
2019,47,Ignas Brazdeikis,Ignas Brazdeikis,1863.0,3.2704459080179626,-2.06
