draft_year,pick,player,season,season_index,ws
2003,43,Keith Bogans,2004.0,1.0,1.3
2003,47,Mo Williams,2004.0,1.0,0.2
2003,49,James Jones,2004.0,1.0,0.0
2003,33,Jerome Beasley,2004.0,1.0,0.0
2003,24,Brian Cook,2004.0,1.0,1.1
2003,26,Ndudi Ebi,2004.0,1.0,0.0
2003,27,Kendrick Perkins,2004.0,1.0,0.1
2001,6,Shane Battier,2004.0,3.0,5.9
2001,25,Gerald Wallace,2004.0,3.0,0.4
2001,26,Samuel Dalembert,2004.0,3.0,6.9
2001,27,Jamaal Tinsley,2004.0,3.0,4.4
2003,3,Carmelo Anthony,2004.0,1.0,6.1
2003,4,Chris Bosh,2004.0,1.0,6.2
2002,46,Matt Barnes,2004.0,2.0,0.7
2003,6,Chris Kaman,2004.0,1.0,0.0
2002,50,Darius Songaila,2004.0,2.0,2.6
2002,53,Rasual Butler,2004.0,2.0,1.6
2003,10,Jarvis Hayes,2004.0,1.0,0.5
2003,11,Mickaël Piétrus,2004.0,1.0,1.5
2003,5,Dwyane Wade,2004.0,1.0,4.6
2002,28,Dan Dickau,2004.0,2.0,0.0
2002,31,Roger Mason,2004.0,2.0,0.1
2002,34,Dan Gadzuric,2004.0,2.0,3.7
2002,35,Carlos Boozer,2004.0,2.0,9.4
2002,42,Ronald Murray,2004.0,2.0,1.7
2002,44,Lonny Baxter,2004.0,2.0,1.5
2002,26,John Salmons,2004.0,2.0,2.1
2002,27,Chris Jefferies,2004.0,2.0,0.0
2002,54,Tamar Slay,2004.0,2.0,0.0
2003,1,LeBron James,2004.0,1.0,5.1
2003,2,Darko Miličić,2004.0,1.0,-0.2
2001,28,Tony Parker,2004.0,3.0,7.5
2001,19,Zach Randolph,2004.0,3.0,7.1
2001,20,Brendan Haywood,2004.0,3.0,3.8
2001,23,Brandon Armstrong,2004.0,3.0,-0.3
2001,24,Raül López,2004.0,3.0,1.4
2001,15,Steven Hunter,2004.0,3.0,0.6
2001,17,Michael Bradley,2004.0,3.0,0.0
2003,39,Slavko Vraneš,2004.0,1.0,0.0
2003,41,Willie Green,2004.0,1.0,0.0
2001,12,Vladimir Radmanović,2004.0,3.0,4.2
2001,13,Richard Jefferson,2004.0,3.0,11.0
2001,14,Troy Murphy,2004.0,3.0,1.3
2000,20,Speedy Claxton,2004.0,4.0,4.2
2000,21,Morris Peterson,2004.0,4.0,4.9
2002,47,Jamal Sampson,2004.0,2.0,0.4
2002,32,Robert Archibald,2004.0,2.0,0.2
2003,42,Zaza Pachulia,2004.0,1.0,0.3
2000,1,Kenyon Martin,2004.0,4.0,6.7
2000,11,Jérôme Moïso,2004.0,4.0,0.8
2003,29,Josh Howard,2004.0,1.0,3.5
2003,30,Maciej Lampe,2004.0,1.0,0.1
2003,31,Jason Kapono,2004.0,1.0,0.5
2001,18,Jason Collins,2004.0,3.0,4.9
2001,8,DeSagana Diop,2004.0,3.0,1.0
2000,4,Marcus Fizer,2004.0,4.0,0.5
2001,10,Joe Johnson,2005.0,4.0,7.6
2001,11,Kedrick Brown,2005.0,4.0,0.1
2001,12,Vladimir Radmanović,2005.0,4.0,3.7
2001,13,Richard Jefferson,2005.0,4.0,2.4
2004,32,Peter John Ramos,2005.0,1.0,0.0
2004,33,Lionel Chalmers,2005.0,1.0,-0.2
2004,34,Donta Smith,2005.0,1.0,0.2
2004,35,Andre Emmett,2005.0,1.0,0.0
2004,36,Antonio Burks,2005.0,1.0,0.5
2004,37,Royal Ivey,2005.0,1.0,0.2
2004,38,Chris Duhon,2005.0,1.0,4.1
2004,40,Justin Reed,2005.0,1.0,0.3
2002,47,Jamal Sampson,2005.0,3.0,0.5
2002,34,Dan Gadzuric,2005.0,3.0,5.2
2002,35,Carlos Boozer,2005.0,3.0,4.1
2002,41,Mario Kasun,2005.0,3.0,0.6
2002,42,Ronald Murray,2005.0,3.0,-0.3
2002,25,Frank Williams,2005.0,3.0,-0.2
2002,26,John Salmons,2005.0,3.0,1.4
2002,54,Tamar Slay,2005.0,3.0,-0.3
2002,58,Corsley Edwards,2005.0,3.0,0.1
2003,1,LeBron James,2005.0,2.0,14.3
2003,2,Darko Miličić,2005.0,2.0,-0.2
2003,3,Carmelo Anthony,2005.0,2.0,4.9
2002,44,Lonny Baxter,2005.0,3.0,-0.2
2002,46,Matt Barnes,2005.0,3.0,0.4
2004,31,Jackson Vroman,2005.0,1.0,-0.1
2004,25,Tony Allen,2005.0,1.0,2.7
2004,26,Kevin Martin,2005.0,1.0,0.1
2004,27,Sasha Vujačić,2005.0,1.0,0.2
2004,19,Dorell Wright,2005.0,1.0,-0.1
2004,20,Jameer Nelson,2005.0,1.0,2.5
2004,21,Pavel Podkolzin,2005.0,1.0,0.0
2004,22,Viktor Khryapa,2005.0,1.0,0.3
2004,24,Delonte West,2005.0,1.0,0.9
2003,5,Dwyane Wade,2005.0,2.0,11.0
2002,50,Darius Songaila,2005.0,3.0,4.3
2002,53,Rasual Butler,2005.0,3.0,1.7
2004,14,Kris Humphries,2005.0,1.0,-0.3
2004,15,Al Jefferson,2005.0,1.0,2.7
2004,16,Kirk Snyder,2005.0,1.0,-0.2
2004,17,Josh Smith,2005.0,1.0,2.4
2004,18,J.R. Smith,2005.0,1.0,0.2
2003,9,Mike Sweetney,2005.0,2.0,3.8
2003,10,Jarvis Hayes,2005.0,2.0,1.7
2003,11,Mickaël Piétrus,2005.0,2.0,2.1
2003,12,Nick Collison,2005.0,2.0,3.9
2003,4,Chris Bosh,2005.0,2.0,6.8
2004,28,Beno Udrih,2005.0,1.0,3.1
2004,29,David Harrison,2005.0,1.0,1.4
2004,30,Anderson Varejão,2005.0,1.0,3.0
2004,43,Trevor Ariza,2005.0,1.0,2.1
2004,45,Bernard Robinson,2005.0,1.0,0.3
2004,46,Ha Seung-Jin,2005.0,1.0,-0.2
2004,47,Pape Sow,2005.0,1.0,0.2
2004,53,Matt Freije,2005.0,1.0,-0.5
2004,55,Luis Flores,2005.0,1.0,0.0
2002,28,Dan Dickau,2005.0,3.0,3.5
2002,19,Ryan Humphrey,2005.0,3.0,0.1
2002,20,Kareem Rush,2005.0,3.0,0.1
2004,10,Luke Jackson,2005.0,1.0,0.1
2004,11,Andris Biedriņš,2005.0,1.0,1.2
2004,12,Robert Swift,2005.0,1.0,0.0
2004,13,Sebastian Telfair,2005.0,1.0,-0.4
2004,5,Devin Harris,2005.0,1.0,2.7
2004,6,Josh Childress,2005.0,1.0,4.6
2004,7,Luol Deng,2005.0,1.0,3.0
2003,6,Chris Kaman,2005.0,2.0,2.1
2003,7,Kirk Hinrich,2005.0,2.0,7.2
2002,21,Qyntel Woods,2005.0,3.0,0.0
2002,22,Casey Jacobsen,2005.0,3.0,2.7
2002,23,Tayshaun Prince,2005.0,3.0,9.4
2002,24,Nenad Krstić,2005.0,3.0,4.4
2002,14,Fred Jones,2005.0,3.0,4.8
2002,15,Boštjan Nachbar,2005.0,3.0,1.7
2002,16,Jiří Welsch,2005.0,3.0,1.7
2002,17,Juan Dixon,2005.0,3.0,2.0
2002,18,Curtis Borchardt,2005.0,3.0,0.8
2002,8,Chris Wilcox,2005.0,3.0,1.3
2002,9,Amar'e Stoudemire,2005.0,3.0,14.6
2003,15,Reece Gaines,2005.0,2.0,-0.1
2003,17,Žarko Čabarkapa,2005.0,2.0,1.3
2003,18,David West,2005.0,2.0,0.2
2003,19,Sasha Pavlović,2005.0,2.0,0.8
2003,20,Dahntay Jones,2005.0,2.0,0.9
2003,21,Boris Diaw,2005.0,2.0,0.1
2004,8,Rafael Araújo,2005.0,1.0,0.3
2004,9,Andre Iguodala,2005.0,1.0,6.6
2002,10,Caron Butler,2005.0,3.0,5.3
2002,11,Jared Jeffries,2005.0,3.0,2.6
2002,12,Melvin Ely,2005.0,3.0,0.1
2002,13,Marcus Haislip,2005.0,3.0,-0.2
2002,6,Dajuan Wagner,2005.0,3.0,-0.2
2002,7,Nenê,2005.0,3.0,3.2
2002,3,Mike Dunleavy,2005.0,3.0,4.9
2002,4,Drew Gooden,2005.0,3.0,8.5
2002,5,Nikoloz Tskitishvili,2005.0,3.0,-0.5
2001,53,Jarron Collins,2005.0,4.0,1.1
2002,1,Yao Ming,2005.0,3.0,10.7
2001,41,Jamison Brewer,2005.0,4.0,-0.3
2001,42,Bobby Simmons,2005.0,4.0,6.8
2001,46,Loren Woods,2005.0,4.0,0.7
2001,1,Kwame Brown,2005.0,4.0,0.6
2003,23,Travis Outlaw,2005.0,2.0,1.4
2003,13,Marcus Banks,2005.0,2.0,1.9
2003,14,Luke Ridnour,2005.0,2.0,5.4
2001,37,Damone Brown,2005.0,4.0,-0.2
2001,38,Mehmet Okur,2005.0,4.0,7.0
2001,40,Earl Watson,2005.0,4.0,2.3
2001,30,Trenton Hassell,2005.0,4.0,2.7
2001,31,Gilbert Arenas,2005.0,4.0,11.5
2003,27,Kendrick Perkins,2005.0,2.0,0.7
2003,49,James Jones,2005.0,2.0,2.5
2003,51,Kyle Korver,2005.0,2.0,6.6
2003,56,Brandon Hunter,2005.0,2.0,0.2
2004,1,Dwight Howard,2005.0,1.0,7.3
