draft_year,pick,player,wiki_title,resolved,views_predraft,months_with_data
2019,40,Justin James,Justin James (basketball),True,0.0,0
2019,41,Eric Paschall,Eric Paschall,True,31273.0,11
2019,42,Admiral Schofield,Admiral Schofield,True,128678.0,11
2019,43,Jaylen Nowell,Jaylen Nowell,True,4606.0,3
2019,44,Bol Bol,Bol Bol,True,682746.0,11
2019,45,Isaiah Roby,Isaiah Roby,True,0.0,0
2019,46,Talen Horton-Tucker,Talen Horton-Tucker,True,7179.0,5
2019,47,Ignas Brazdeikis,Ignas Brazdeikis,True,1863.0,11
2019,48,Terance Mann,Terance Mann,True,680.0,2
2019,49,Quinndary Weatherspoon,Quinndary Weatherspoon,True,7401.0,11
2019,50,Jarrell Brantley,Jarrell Brantley,True,0.0,0
2019,51,Tremont Waters,Tremont Waters,True,28375.0,11
2019,52,Jalen McDaniels,Jalen McDaniels,True,2892.0,3
2019,53,Justin Wright-Foreman,Justin Wright-Foreman,True,9378.0,11
2019,54,Marial Shayok,Marial Shayok,True,11469.0,3
2019,55,Kyle Guy,Kyle Guy,True,348508.0,11
2019,56,Jaylen Hands,Jaylen Hands,True,61516.0,11
2019,57,Jordan Bone,Jordan Bone,True,2759.0,2
2019,58,Miye Oni,Miye Oni,True,6671.0,3
2019,59,Dewan Hernandez,Dewan Hernandez,True,10068.0,8
2019,60,Vanja Marinković,Vanja Marinković,True,11182.0,11
2020,1,Anthony Edwards,Anthony Edwards (basketball),True,110659.0,11
2020,2,James Wiseman,James Wiseman,True,170751.0,11
2020,3,LaMelo Ball,LaMelo Ball,True,1106230.0,11
2020,4,Patrick Williams,Patrick Williams (basketball),True,5809.0,6
2020,5,Isaac Okoro,Isaac Okoro,True,24465.0,11
2020,6,Onyeka Okongwu,Onyeka Okongwu,True,65538.0,11
2020,7,Killian Hayes,Killian Hayes,True,52600.0,11
2020,8,Obi Toppin,Obi Toppin,True,204172.0,7
2020,9,Deni Avdija,Deni Avdija,True,156658.0,11
2020,10,Jalen Smith,Jalen Smith,True,27785.0,11
2020,11,Devin Vassell,Devin Vassell,True,5235.0,5
2020,12,Tyrese Haliburton,Tyrese Haliburton,True,27825.0,11
2020,13,Kira Lewis Jr.,Kira Lewis Jr.,True,7287.0,6
2020,14,Aaron Nesmith,Aaron Nesmith,True,4656.0,6
