Year,Rd,Pk,Tm,Player,College,Yrs,WS,WS/48
2003,3,41,SEA,Willie Green,Detroit Mercy,12,12.9,.042
2003,3,42,ORL,Zaza Pachulia,,16,52.7,.114
2003,3,43,MIL,Keith Bogans,Kentucky,11,20.4,.068
2003,3,44,HOU,Malick Badiane,,,,
2003,3,45,CHI,Matt Bonner,Florida,12,38.5,.138
2003,3,46,DEN,Sani Bečirovič,,,,
2003,3,47,UTA,Mo Williams,Alabama,13,40.0,.080
2003,3,48,NOH,James Lang,,1,0.1,.047
2003,3,49,IND,James Jones,Miami (FL),14,25.2,.109
2003,3,50,PHI,Paccelis Morlende,,,,
2003,3,51,NJN,Kyle Korver,Creighton,17,73.4,.113
2003,3,52,TOR,Remon van de Hare,,,,
2003,3,53,CHI,Tommy Smith,Arizona State,,,
2003,3,54,POR,Nedžad Sinanović,,,,
2003,3,55,MIN,Rick Rickert,Minnesota,,,
2003,3,56,BOS,Brandon Hunter,Ohio University,2,0.7,.055
2003,3,57,DAL,Xue Yuyang,,,,
2003,3,58,DET,Andreas Glyniadakis,,1,-0.2,-.143
2004,1,1,ORL,Dwight Howard,,18,141.7,.172
2004,1,2,CHA,Emeka Okafor,UConn,10,45.3,.114
2004,1,3,CHI,Ben Gordon,UConn,11,33.3,.078
2004,1,4,LAC,Shaun Livingston,,14,29.9,.084
2004,1,5,WAS,Devin Harris,Wisconsin,15,54.9,.110
2004,1,6,ATL,Josh Childress,Stanford,8,25.7,.118
2004,1,7,PHO,Luol Deng,Duke,15,74.0,.115
2004,1,8,TOR,Rafael Araújo,BYU,3,-0.4,-.013
2004,1,9,PHI,Andre Iguodala,Arizona,19,100.4,.122
2004,1,10,CLE,Luke Jackson,Oregon,4,0.2,.010
2004,1,11,GSW,Andris Biedriņš,,10,30.7,.132
2004,1,12,SEA,Robert Swift,,4,1.7,.054
2004,1,13,POR,Sebastian Telfair,,10,5.0,.020
2004,1,14,UTA,Kris Humphries,Minnesota,13,30.3,.102
2004,1,15,BOS,Al Jefferson,,14,71.0,.130
2004,1,16,UTA,Kirk Snyder,Nevada,4,4.5,.061
2004,1,17,ATL,Josh Smith,,13,51.0,.084
2004,1,18,NOH,J.R. Smith,,16,46.3,.084
2004,1,19,MIA,Dorell Wright,,11,25.9,.101
2004,1,20,DEN,Jameer Nelson,Saint Joseph's,14,48.3,.094
2004,1,21,UTA,Pavel Podkolzin,,2,-0.1,-.163
2004,1,22,NJN,Viktor Khryapa,,4,2.0,.041
2004,1,23,POR,Sergei Monia,,1,-0.2,-.025
2004,1,24,BOS,Delonte West,Saint Joseph's,8,24.5,.099
2004,1,25,BOS,Tony Allen,Oklahoma State,14,38.7,.103
2004,1,26,SAC,Kevin Martin,Western Carolina University,12,61.3,.137
2004,1,27,LAL,Sasha Vujačić,,10,16.0,.086
2004,1,28,SAS,Beno Udrih,,13,31.4,.083
2004,1,29,IND,David Harrison,Colorado,4,3.2,.057
2004,4,30,ORL,Anderson Varejão,,14,46.4,.148
2004,4,31,CHI,Jackson Vroman,Iowa State,2,0.0,.001
2004,4,32,WAS,Peter John Ramos,,1,0.0,-.108
2004,4,33,LAC,Lionel Chalmers,Xavier,1,-0.2,-.025
2004,4,34,ATL,Donta Smith,Southeastern Illinois College,2,0.5,.043
2004,4,35,SEA,Andre Emmett,Texas Tech,2,0.1,.040
2004,4,36,ORL,Antonio Burks,Memphis,2,0.1,.004
2004,4,37,ATL,Royal Ivey,Texas,10,4.5,.035
2004,4,38,CHI,Chris Duhon,Duke,9,25.0,.077
2004,4,39,TOR,Albert Miralles,,,,
2004,4,40,BOS,Justin Reed,Ole Miss,3,0.5,.016
2004,4,41,SEA,David Young,NC Central,,,
2004,4,42,ATL,Viktor Sanikidze,,,,
2004,4,43,NYK,Trevor Ariza,UCLA,18,64.3,.094
2004,4,44,NOH,Tim Pickett,Florida State,,,
2004,4,45,CHA,Bernard Robinson,Michigan,3,2.0,.049
2004,4,46,POR,Ha Seung-Jin,,2,-0.2,-.029
2004,4,47,MIA,Pape Sow,Cal State Fullerton,3,0.8,.044
2004,4,48,SAC,Ricky Minard,Morehead State University,,,
2004,4,49,MEM,Sergei Lishouk,,,,
2004,4,50,DAL,Vassilis Spanoulis,,1,-0.1,-.010
2004,4,51,NJN,Christian Drejer,Florida,,,
2004,4,52,SAS,Romain Sato,Xavier,,,
2004,4,53,MIA,Matt Freije,Vanderbilt,2,-0.6,-.047
2004,4,54,DET,Rickey Paulding,Missouri,,,
2004,4,55,HOU,Luis Flores,Manhattan University,1,0.0,-.020
2004,4,56,LAL,Marcus Douthit,Providence,,,
2004,4,57,SAS,Sergei Karaulov,,,,
2004,4,58,MIN,Blake Stepp,Gonzaga,,,
2004,4,59,IND,Rashad Wright,Georgia,,,
2005,1,1,MIL,Andrew Bogut,Utah,14,50.6,.122
2005,1,2,ATL,Marvin Williams,UNC,15,65.1,.104
2005,1,3,UTA,Deron Williams,Illinois,12,77.3,.129
2005,1,4,NOH,Chris Paul,Wake Forest,21,215.2,.225
2005,1,5,CHA,Raymond Felton,UNC,14,40.2,.067
2005,1,6,POR,Martell Webster,,10,24.7,.085
2005,1,7,TOR,Charlie Villanueva,UConn,11,22.6,.080
2005,1,8,NYK,Channing Frye,Arizona,13,38.9,.094
2005,1,9,GSW,Ike Diogu,Arizona State,6,6.5,.112
2005,1,10,LAL,Andrew Bynum,,8,37.4,.168
2005,1,11,ORL,Fran Vázquez,,,,
2005,1,12,LAC,Yaroslav Korolev,,2,-0.1,-.024
2005,1,13,CHA,Sean May,UNC,4,2.6,.068
2005,1,14,MIN,Rashad McCants,UNC,4,3.6,.035
2005,1,15,NJN,Antoine Wright,Texas A&M,6,3.1,.026
2005,1,16,TOR,Joey Graham,Oklahoma State,6,7.8,.061
2005,1,17,IND,Danny Granger,New Mexico,10,48.5,.126
2005,1,18,BOS,Gerald Green,,12,18.4,.068
2005,1,19,MEM,Hakim Warrick,Syracuse,8,20.4,.092
2005,1,20,DEN,Julius Hodge,NC State,2,0.0,.003
2005,1,21,PHO,Nate Robinson,Washington,11,27.8,.096
2005,1,22,DEN,Jarrett Jack,Georgia Tech,13,36.8,.073
2005,1,23,SAC,Francisco García,Louisville,10,18.2,.074
2005,1,24,HOU,Luther Head,Illinois,6,14.7,.090
2005,1,25,SEA,Johan Petro,,8,5.5,.037
2005,1,26,DET,Jason Maxiell,Cincinnati,10,20.3,.086
2005,1,27,POR,Linas Kleiza,Missouri,7,13.6,.080
2005,1,28,SAS,Ian Mahinmi,,12,26.1,.121
2005,1,29,MIA,Wayne Simien,Kansas,2,0.9,.083
2005,1,30,NYK,David Lee,Florida,12,76.0,.150
2005,3,31,ATL,Salim Stoudamire,Arizona,3,2.2,.040
2005,3,32,LAC,Daniel Ewing,Duke,2,0.8,.024
2005,3,33,NOH,Brandon Bass,LSU,12,42.8,.125
2005,3,34,UTA,C.J. Miles,,16,30.1,.084
2005,3,35,POR,Ricky Sánchez,,,,
2005,3,36,MIL,Ersan İlyasova,,13,48.8,.124
2005,3,37,LAL,Ronny Turiaf,Gonzaga,10,19.2,.115
2005,3,38,ORL,Travis Diener,Marquette,5,5.6,.102
2005,3,39,LAL,Von Wafer,Florida State,6,3.3,.064
2005,3,40,GSW,Monta Ellis,,12,41.9,.069
2005,3,41,TOR,Roko Ukić,,2,-0.2,-.007
2005,3,42,GSW,Chris Taft,Pitt,1,0.5,.155
2005,3,43,NJN,Mile Ilić,,1,-0.2,-1.264
2005,3,44,ORL,Martynas Andriuškevičius,,1,0.0,.155
2005,3,45,PHI,Lou Williams,,17,65.7,.116
2005,3,46,IND,Erazem Lorbek,,,,
2005,3,47,MIN,Bracey Wright,Indiana,2,0.5,.068
2005,3,48,SEA,Mickaël Gelabale,,3,3.0,.062
2005,3,49,WAS,Andray Blatche,,9,19.2,.074
2005,3,50,BOS,Ryan Gomes,Providence,8,19.4,.069
2005,3,51,UTA,Robert Whaley,Walsh University,1,0.0,.004
2005,3,52,DEN,Axel Hervelle,,,,
2005,3,53,BOS,Orien Greene,Louisiana,4,-0.7,-.022
2005,3,54,NYK,Dijon Thompson,UCLA,2,0.2,.102
2005,3,55,SEA,Lawrence Roberts,Mississippi State,2,2.5,.106
2005,3,56,DET,Amir Johnson,,14,55.3,.145
2005,3,57,PHO,Marcin Gortat,,12,61.3,.142
2005,3,58,TOR,Uroš Slokar,,1,0.1,.042
2005,3,59,ATL,Cenk Akyol,,,,
2005,3,60,DET,Alex Acker,Pepperdine,2,-0.2,-.043
2006,1,1,TOR,Andrea Bargnani,,10,18.9,.057
2006,1,2,CHI,LaMarcus Aldridge,Texas,16,115.6,.153
2006,1,3,CHA,Adam Morrison,Gonzaga,3,-1.4,-.021
2006,1,4,POR,Tyrus Thomas,LSU,8,13.0,.078
2006,1,5,ATL,Shelden Williams,Duke,6,9.9,.085
2006,1,6,MIN,Brandon Roy,Washington,6,37.4,.155
2006,1,7,BOS,Randy Foye,Villanova,11,23.5,.058
2006,1,8,HOU,Rudy Gay,UConn,17,61.0,.085
2006,1,9,GSW,Patrick O'Bryant,Bradley,4,0.5,.046
2006,1,10,SEA,Mouhamed Sene,,3,0.3,.052
2006,1,11,ORL,JJ Redick,Duke,15,63.7,.128
2006,1,12,NOK,Hilton Armstrong,UConn,6,3.9,.055
2006,1,13,PHI,Thabo Sefolosha,,14,39.3,.099
2006,1,14,UTA,Ronnie Brewer,Arkansas,8,30.4,.127
2006,1,15,NOK,Cedric Simmons,NC State,3,0.1,.005
2006,1,16,CHI,Rodney Carney,Memphis,5,6.2,.064
2006,1,17,IND,Shawne Williams,Memphis,7,6.7,.060
2006,1,18,WAS,Oleksiy Pecherov,,3,0.5,.025
